InvoiceMonth,ServiceName,UsageType,Region,UsageAmount,Cost
2024-01,Amazon EC2,ComputeHours,us-east-1,320,45.60
2024-01,Amazon S3,StorageGB,us-east-1,850,23.80
2024-01,AWS Lambda,Requests,us-west-2,1500000,18.50
2024-01,Amazon RDS,DBInstanceHours,us-east-1,220,67.20
2024-01,Amazon CloudWatch,Metrics,us-east-1,450,12.40
2024-02,Amazon EC2,ComputeHours,us-east-1,350,49.00
2024-02,Amazon S3,StorageGB,us-east-1,900,25.10
2024-02,AWS Lambda,Requests,us-west-2,1600000,19.20
2024-02,Amazon RDS,DBInstanceHours,us-east-1,230,70.10
2024-02,Amazon CloudWatch,Metrics,us-east-1,480,13.00
2024-03,Amazon EC2,ComputeHours,us-east-1,410,57.40
2024-03,Amazon S3,StorageGB,us-east-1,940,26.30
2024-03,AWS Lambda,Requests,us-west-2,1700000,20.10
2024-03,Amazon RDS,DBInstanceHours,us-east-1,240,72.80
2024-03,Amazon CloudWatch,Metrics,us-east-1,500,13.50
2024-04,Amazon EC2,ComputeHours,us-east-1,430,60.20
2024-04,Amazon S3,StorageGB,us-east-1,980,27.40
2024-04,AWS Lambda,Requests,us-west-2,1750000,20.80
2024-04,Amazon RDS,DBInstanceHours,us-east-1,250,75.00
2024-04,Amazon CloudWatch,Metrics,us-east-1,520,14.10
2024-05,Amazon EC2,ComputeHours,us-east-1,460,64.80
2024-05,Amazon S3,StorageGB,us-east-1,1000,28.00
2024-05,AWS Lambda,Requests,us-west-2,1800000,21.50
2024-05,Amazon RDS,DBInstanceHours,us-east-1,260,78.40
2024-05,Amazon CloudWatch,Metrics,us-east-1,540,14.60
2024-06,Amazon EC2,ComputeHours,us-east-1,500,70.00
2024-06,Amazon S3,StorageGB,us-east-1,1050,29.40
2024-06,AWS Lambda,Requests,us-west-2,1850000,22.10
2024-06,Amazon RDS,DBInstanceHours,us-east-1,270,81.00
2024-06,Amazon CloudWatch,Metrics,us-east-1,560,15.20
