EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,PerformanceRating,YearsAtCompany,Attrition
1001,29,Female,Sales,Sales Executive,4200,4,3,2,Yes
1002,35,Male,Research & Development,Laboratory Technician,3100,3,4,5,No
1003,41,Female,Human Resources,HR Specialist,5200,2,3,8,No
1004,28,Male,Sales,Sales Representative,2900,4,3,1,Yes
1005,45,Female,Research & Development,Research Scientist,6800,3,4,10,No
1006,32,Male,Research & Development,Healthcare Representative,6100,2,3,6,No
1007,26,Female,Sales,Sales Executive,4000,1,3,1,Yes
1008,39,Male,Research & Development,Research Scientist,7200,4,4,9,No
1009,50,Female,Human Resources,HR Manager,8300,3,4,15,No
1010,31,Male,Sales,Sales Executive,4500,2,3,3,Yes
1011,36,Female,Research & Development,Laboratory Technician,3300,4,3,4,No
1012,42,Male,Research & Development,Manufacturing Director,9100,3,4,12,No
1013,27,Female,Sales,Sales Representative,2800,2,3,1,Yes
1014,38,Male,Research & Development,Research Scientist,6900,4,4,7,No
1015,46,Female,Human Resources,HR Specialist,5400,3,3,11,No
1016,30,Male,Sales,Sales Executive,4100,1,3,2,Yes
1017,34,Female,Research & Development,Healthcare Representative,6200,4,4,5,No
1018,48,Male,Research & Development,Manufacturing Director,9500,3,4,14,No
1019,29,Female,Sales,Sales Executive,4300,2,3,3,Yes
1020,37,Male,Research & Development,Research Scientist,7000,4,4,8,No
1021,33,Female,Human Resources,HR Specialist,5100,3,3,4,No
1022,40,Male,Sales,Sales Executive,4600,2,3,6,Yes
1023,28,Female,Research & Development,Laboratory Technician,3200,4,3,2,No
1024,44,Male,Research & Development,Healthcare Representative,6400,3,4,13,No
1025,31,Female,Sales,Sales Representative,3000,1,3,1,Yes
1026,39,Male,Research & Development,Research Scientist,7100,4,4,9,No
1027,47,Female,Human Resources,HR Manager,8500,3,4,16,No
1028,30,Male,Sales,Sales Executive,4200,2,3,2,Yes
1029,36,Female,Research & Development,Laboratory Technician,3400,4,3,4,No
1030,43,Male,Research & Development,Manufacturing Director,9200,3,4,12,No
